G,D,H,N,SDI,A,SCI
30.0 ,29.5,17,439 ,820 ,73 ,10.5 
26.0 ,28,14.3,422 ,726 ,65 ,9.3 
18.0 ,20.5,14,546 ,568 ,38 ,11.7 
13.5 ,24.6,13.8,284 ,396 ,47 ,10.4 
19.0 ,21.4,13,529 ,589 ,38 ,10.9 
18.0 ,28,12.5,292 ,502 ,53 ,8.8 
30.0 ,24.2,12.6,653 ,887 ,59 ,8.5 
16.0 ,27.8,13,264 ,448 ,53 ,9.1 
18.5 ,30.1,16.5,260 ,502 ,70 ,10.4 
30.0 ,19.5,13,1005 ,965 ,48 ,9.6 
10.5 ,30.6,13.9,143 ,283 ,67 ,8.9 
11.5 ,23.9,12.2,256 ,342 ,43 ,9.6 
16.5 ,21.2,10.3,468 ,514 ,33 ,9.5 
29.0 ,19.5,12.8,972 ,933 ,58 ,8.7 
20.5 ,23.5,11.3,473 ,613 ,40 ,9.2 
19.0 ,15.1,12.1,1062 ,676 ,28 ,13.0 
11.5 ,26.4,14.6,210 ,328 ,54 ,10.2 
17.5 ,25,14.8,357 ,511 ,49 ,10.8 
11.0 ,27.2,15.8,189 ,311 ,60 ,10.6 
12.5 ,17.8,9,503 ,417 ,27 ,9.8 
18.0 ,28.7,11.5,278 ,498 ,54 ,8.1 
13.5 ,13.3,7.2,972 ,504 ,20 ,10.8 
17.0 ,15.6,7.1,890 ,597 ,22 ,9.5 
20.5 ,17,11.8,904 ,696 ,30 ,11.9 
21.0 ,22.7,12.4,519 ,636 ,40 ,10.1 
15.5 ,32.1,14.5,192 ,410 ,73 ,9.0 
